Bonne-Nouvelle (boulevard de)   ;75002
Bourg-l'Abbé (passage du);75002
Bourse (place de la);75002
Bourse (rue de la);75002
Brongniart (rue);75002
Caire (galerie du);75002
Caire (passage du);75002
Caire (place du);75002
Caire (rue du);75002
Capucines (boulevard des)   ;75002
Capucines (rue des)   ;75002
Chabanais (rue);75002
Chénier (rue);75002
Chérubini (rue);75002
Choiseul (passage);75002
de Choiseul (rue);75002
Cléry (passage de);75002
Cléry (rue de);75002
Colbert (galerie);75002
Colbert (rue);75002
Colonnes (rue des);75002
Croissant (rue du);75002
Dalayrac (rue);75002
Damiette (rue de);75002
Danielle-Casanova (rue)   ;75002
Daunou (rue);75002
Degrés (rue des);75002
Dussoubs (rue);75002
Etienne-Marcel (rue)   ;75002
Favart (rue);75002
Feydeau (galerie);75002
Feydeau (rue);75002
Filles-Saint-Thomas (rue des);75002
Forges (rue des);75002
Française (rue)   ;75002
Gaillon (place);75002
Gaillon (rue);75002
Goldoni (place);75002
de Gramont (rue);75002
Grand-Cerf (passage du);75002
Greneta (cour);75002
Greneta (rue)   ;75002
Grétry (rue);75002
Guérin-Boisseau (rue);75002
Hanovre (rue de);75002
Italiens (boulevard des)   ;75002
Jacques-Bidault (square);75002
Jeûneurs (rue des);75002
Jussienne (rue de la);75002
La Feuillade (rue)   ;75002
de La Michodière (rue);75002
Lemoine (passage);75002
Léon-Cladel (rue);75002
Léopold-Bellan (rue);75002
Louis-le-Grand (rue);75002
Louvois (rue de);75002
Louvois (square);75002
Louvre (rue du)   ;75002
Lulli (rue);75002
Lune (rue de la);75002
Mail (rue du);75002
Mandar (rue);75002
Marie-Stuart (rue);75002
de Marivaux (rue);75002
Marsollier (rue);75002
Méhul (rue);75002
Ménars (rue);75002
Monsigny (rue);75002
Montmartre (boulevard)   ;75002
Montmartre (rue)   ;75002
Montmartre (cité);75002
Montmartre (galerie);75002
Montorgueil (rue)   ;75002
Mulhouse (rue de);75002
Nil (rue du);75002
Notre-Dame-de-Bonne-Nouvelle (rue);75002
Notre-Dame-de-Recouvrance (rue);75002
Notre-Dame-des-Victoires (rue);75002
Opéra (avenue de l')   ;75002
Opéra (place de l')   ;75002
Paix (rue de la);75002
Palestro (rue de);75002
Panoramas (passage des);75002
Panoramas (rue des);75002
Paul-Lelong (rue);75002
Peintres (impasse des);75002
Petits-Carreaux (rue des);75002
Petits-Champs (rue des)   ;75002
Petits-Pères (passage des);75002
Petits-Pères (place des);75002
Petits-Pères (rue des);75002
Pierre-Lazareff (allée);75002
Pierre-Lazareff (place);75002
Poissonnière (boulevard)   ;75002
Poissonnière (rue);75002
Ponceau (passage du);75002
Ponceau (rue du);75002
Port-Mahon (rue de);75002
Princes (passage des);75002
Quatre-Septembre (rue du);75002
Rameau (rue);75002
Réaumur (rue)   ;75002
Richelieu (rue de)   ;75002
Roi-François (cour du);75002
Saint-Augustin (rue);75002
Saint-Denis (boulevard) ;75002
Saint-Denis (impasse);75002
Saint-Denis (rue)   ;75002
Saint-Fiacre (rue);75002
Saint-Joseph (rue);75002
Saint-Marc (galerie);75002
Saint-Marc (rue);75002
Saint-Philippe (rue);75002
Saint-Sauveur (rue);75002
Saint-Spire (rue);75002
Sainte-Anne (passage);75002
Sainte-Anne (rue)   ;75002
Sainte-Apolline (rue)   ;75002
Sainte-Foy (galerie);75002
Sainte-Foy (passage);75002
Sainte-Foy (rue);75002
Sébastopol (boulevard de)   ;75002
Sentier (rue du);75002
Thorel (rue);75002
Tiquetonne (rue);75002
de Tracy (rue);75002
Trinité (passage de la);75002
Turbigo (rue de)   ;75002
Uzès (rue d');75002
Variétés (galerie des);75002
Victoires (place des)   ;75002
Vide-Gousset (rue);75002
Ville-Neuve (rue de la);75002
Vivienne (galerie);75002
Vivienne (rue)   ;75002
Volney (rue);75002
Alombert (passage);75003
Ancre (passage de l');75003
André-Tollet (square);75003
Anne-Frank (jardin);75003
Archives (rue des) ;75003
Arquebusiers (rue des);75003
Bailly (rue);75003
Barbette (rue);75003
Barrois (passage);75003
Béarn (rue de);75003
Beaubourg (impasse);75003
Beaubourg (rue) ;75003
Beauce (rue de);75003
Beaumarchais (boulevard)   ;75003
Béranger (rue);75003
Bernard-de-Clairvaux (rue);75003
Bernard-Lazare (place);75003
Berthaud (impasse);75003
Blondel (rue)   ;75003
Borda (rue);75003
Bourg-l'Abbé (rue du);75003
Brantôme (passage);75003
Brantôme (rue);75003
Braque (rue de);75003
Bretagne (rue de);75003
Caffarelli (rue);75003
Chapon (rue);75003
Charles-François-Dupuis (rue);75003
Charlot (rue);75003
Commerce-Saint-Martin (passage du);75003
Commines (rue);75003
Conté (rue);75003
Corderie (rue de la);75003
Coutures-Saint-Gervais (rue des);75003
Cunin-Gridaine (rue);75003
Debelleyme (rue);75003
Dupetit-Thouars (cité);75003
Dupetit-Thouars (rue);75003
Elisabeth-Dmitrieff (place);75003
Elzévir (rue);75003
Emile-Chautemps (square);75003
Eugène-Spuller (rue);75003
Filles-du-Calvaire (boulevard des) ;75003
Filles-du-Calvaire (rue des);75003
Foin (rue du);75003
Fontaines-du-Temple (rue des);75003
Forez (rue du);75003
Franche-Comté (rue de);75003
Francs-Bourgeois (rue des) ;75003
Froissart (rue);75003
Gabriel-Vicaire (rue);75003
Général-Morin (square du);75003
Georges-Cain (square);75003
Grand-Veneur (rue du);75003
Gravilliers (passage des);75003
Gravilliers (rue des);75003
Greneta (rue)   ;75003
Grenier-Saint-Lazare (rue du);75003
Haudriettes (rue des);75003
Hesse (rue de);75003
Horloge-à-Automates (passage de l');75003
Hôtel Salé (jardin de l');75003
Léopold-Achille (square);75003
Maire (rue au);75003
Maure (passage du);75003
Ménétriers (passage des);75003
Meslay (passage);75003
Meslay (rue);75003
Michel-le-Comte (rue);75003
Minimes (rue des);75003
Molière (passage);75003
Montgolfier (rue);75003
de Montmorency (rue);75003
Nathalie-Lemel (place);75003
Noël (cité);75003
Normandie (rue de);75003
Notre-Dame-de-Nazareth (rue);75003
Oiseaux (rue des);75003
Olympe-de-Gouges (place);75003
Orgues (passage des);75003
Ours (rue aux);75003
Papin (rue);75003
Parc-Royal (rue du);75003
Pas-de-la-Mule (rue du) ;75003
Pastourelle (rue);75003
Paul-Dubois (rue);75003
Payenne (rue);75003
Perche (rue du);75003
Perle (rue de la);75003
Perrée (rue);75003
Picardie (rue de);75003
Planchette (impasse de la);75003
Poitou (rue de);75003
Pont-aux-biches (passage du);75003
Pont-aux-Choux (rue du);75003
Portefoin (rue);75003
Quatre-Fils (rue des);75003
Quincampoix (rue)   ;75003
Rambuteau (rue)   ;75003
Réaumur (rue)   ;75003
Renée-Vivien (place);75003
République (place de la) ;75003
Roger-Verlomme (rue);75003
Roi-Doré (rue du);75003
Rome (cour de);75003
Saint-Claude (impasse);75003
Saint-Claude (rue);75003
Saint-Denis (boulevard) ;75003
Saint-Gilles (rue);75003
Saint-Gilles-Grand-Veneur (jardin);75003
Saint-Martin (boulevard)   ;75003
Saint-Martin (rue)   ;75003
Sainte-Anastase (rue);75003
Sainte-Apolline (rue)   ;75003
Sainte-Avoie (passage);75003
Sainte-Elisabeth (passage);75003
Saintonge (rue de);75003
Salomon-de-Caus (rue);75003
Sébastopol (boulevard de)   ;75003
de Sévigné (rue)   ;75003
Sourdis (ruelle);75003
Temple (boulevard du) ;75003
Temple (rue du) ;75003
Temple (square du);75003
Théodore-Herzl (place);75003
de Thorigny (place);75003
de Thorigny (rue);75003
Tournelles (rue des)   ;75003
Turbigo (rue de)   ;75003
de Turenne (rue)   ;75003
Vaucanson (rue);75003
Vendôme (passage);75003
Vertbois (passage du);75003
Vertbois (rue du);75003
Vertus (rue des);75003
Vieille-du-Temple (rue)   ;75003
Villehardouin (rue);75003
Volta (rue);75003
Vosges (place des)   ;75003
Abbé-Migne (rue de l');75004
Adolphe-Adam (rue);75004
Agrippa-d'Aubigné (rue);75004
Albert-Schweitzer (square);75004
Anjou (quai d');75004
Archevêché (pont de l');75004
Archevêché (quai de l');75004
Archives (rue des) ;75004
Arcole (pont d');75004
Arcole (rue d');75004
Arsenal (rue de l');75004
Aubriot (rue);75004
Aubry-le-Boucher (rue);75004
Avé-Maria (rue de l');75004
Barye (square);75004
Barres (rue des);75004
Bassompière (rue);75004
Bastille (place de la)    ;75004
Bastille (rue de la);75004
Bataillon-Français-de-l'ONU-en-Corée (place du);75004
Baudoyer (place);75004
Beaubourg (rue)    ;75004
Beaumarchais (boulevard)   ;75004
Beautreillis (rue);75004
Bérard (cour);75004
Béthune (quai de);75004
Birague (rue de);75004
Blancs-Manteaux (rue des);75004
Boeuf (impasse du);75004
Bourbon (quai de);75004
Bourdon (boulevard);75004
Bourg-Tibourg (rue du);75004
Boutarel (rue);75004
Bretonvilliers (rue de);75004
Brisemiche (rue);75004
Brissac (rue de);75004
de Brosse (rue);75004
Budé (rue);75004
Caron (rue);75004
Castex (rue);75004
Célestin-Hennion (allée);75004
Célestins (port des);75004
Célestins (quai des);75004
Cerisaie (rue de la);75004
Chanoinesse (rue);75004
Chantres (rue des);75004
Charlemagne (rue);75004
Charles-V (rue);75004
Châtelet (place du)      ;75004
Cité (rue de la);75004
Cloche-Perce (rue);75004
Cloître-Notre-Dame (rue du);75004
Cloître-Saint-Merri (rue du);75004
Colombe (rue de la);75004
Corse (quai de la);75004
Coutellerie (rue de la);75004
Crillon (rue);75004
Deux-Ponts (rue des);75004
Double (pont au);75004
Ecouffes (rue des);75004
Edmond-Michelet (place);75004
Eginhard (rue);75004
Fauconnier (rue du);75004
Ferdinand-Duval (rue);75004
Figuier (rue du);75004
Fleurs (quai aux);75004
Fourcy (rue de);75004
François-Miron (rue);75004
Francs-Bourgeois (rue des) ;75004
Geoffroy-l'Angevin (rue);75004
Geoffroy-l'Asnier (rue);75004
Georges-Pompidou (place);75004
Georges-Pompidou (voie);75004
Gesvres (quai de);75004
Grenier-sur-l'Eau (rue du);75004
Guéménée (impasse);75004
Guillemites (rue des);75004
Henri-IV (boulevard);75004
Henri-IV (port);75004
Henri-IV (quai);75004
Henri-Galli (square);75004
Hospitalières-Saint-Gervais (rue des);75004
Hôtel-d'Argenson (impasse de l');75004
Hôtel-de-Ville (place de l');75004
Hôtel-de-Ville (port de);75004
Hôtel-de-Ville (quai de l');75004
Hôtel-de-Ville (rue de l');75004
Hôtel-Saint-Paul (rue de l');75004
Igor-Stravinsky (place);75004
Jacques-Coeur (rue);75004
Jardins-Saint-Paul (rue des);75004
de Jarente (rue);75004
Jean-Beausire (impasse);75004
Jean-Beausire (passage);75004
Jean-Beausire (rue);75004
Jean XXIII (square);75004
Jean-du-Bellay (rue);75004
de Jouy (rue);75004
Juges-Consuls (rue des);75004
Jules-Cousin (rue);75004
Justes (allée des) (de France);75004
de La Reynie (rue)    ;75004
Le Regrattier (rue);75004
de Lesdiguières (rue);75004
Lions-Saint-Paul (rue des);75004
Lobau (rue de);75004
Lombards (rue des)    ;75004
Louis-Lépine (place);75004
Louis-Philippe (pont);75004
Lutèce (rue de);75004
Marie-Trintignant (jardin);75004
Malher (rue);75004
Marché-des-Blancs-Manteaux (rue du);75004
Marché-Neuf (quai du);75004
Marché-Sainte-Catherine (place du);75004
Marie (pont);75004
Massillon (rue);75004
Maurice-Carême (promenade);75004
Mauvais Garçons (rue des);75004
Morland (boulevard);75004
Mornay (rue);75004
Moussy (rue de);75004
Necker (rue);75004
Neuve-Saint-Pierre (rue);75004
Nicolas-Flamel (rue);75004
Nonnains-d'Hyères (rue des);75004
Notre-Dame (pont);75004
Orléans (quai d');75004
d'Ormesson (rue);75004
Palais (boulevard du)    ;75004
Parvis-Notre-Dame (place du) - place Jean-Paul II;75004
Pas-de-la-Mule (rue du) ;75004
Pavée (rue);75004
Pecquay (rue);75004
Père-Teilhard-de-Chardin (place du);75004
Pernelle (rue);75004
Petit-Musc (rue du);75004
Petit-Pont;75004
Pierre-au-Lard (rue);75004
Plâtre (rue du);75004
Poissonnerie (impasse de la);75004
Pont-Louis-Philippe (rue du);75004
Poulletier (rue);75004
Prévôt (rue du);75004
Quincampoix (rue)   ;75004
Rambuteau (rue)    ;75004
Renard (rue du);75004
Rivoli (rue de)    ;75004
Roi-de-Sicile (rue du);75004
Rosiers (rue des);75004
Saint-Antoine (rue);75004
Saint-Bon (rue);75004
Saint-Fiacre (rue);75004
Saint-Gervais (place);75004
Saint-Louis (pont);75004
Saint-Louis-en-l'Île (rue);75004
Saint-Martin (rue)   ;75004
Saint-Merri (rue);75004
Saint-Michel (pont);75004
Saint-Paul (passage);75004
Saint-Paul (rue);75004
Sainte-Croix-de-la-Bretonnerie (rue);75004
Sainte-Croix-de-la-Bretonnerie (square);75004
de Schomberg (rue);75004
Sébastopol (boulevard de)    ;75004
de Sévigné (rue)   ;75004
Simon-le-Franc (rue);75004
Singes (passage des);75004
Sully (ponts de);75004
Sully (rue de);75004
Tacherie (rue de la);75004
Temple (rue du) ;75004
Tiron (rue);75004
Tour-Saint-Jacques (square de la);75004
Tournelle (pont de la);75004
Tournelles (rue des)   ;75004
Trésor (rue du);75004
Turbigo (rue de)    ;75004
de Turenne (rue)   ;75004
Ursins (rue des);75004
Venise (rue de);75004
Verrerie (rue de la);75004
Victoria (avenue)    ;75004
Vieille-du-Temple (rue) ;75004
Villes-Compagnons-de-la-Libération (esplanade des);75004
Vosges (place des)    ;75004
Waslaw-Nijinsky (allée);75004
Abbé-Basset (place de l');75005
Abbé-de-l'Epée (rue de l');75005
Adanson (square);75005
Alfred-Kastler (place);75005
Alphonse-Laveran (place);75005
Amyot (rue);75005
André-Lefèvre (square);75005
Anglais (rue des);75005
Arbalète (rue de l');75005
Arènes (rue des);75005
Arènes de Lutèce (square des);75005
Arras (rue d');75005
Austerlitz (villa d') (ou cité d');75005
Basse-des-Carmes (rue);75005
Bazeilles (rue de);75005
Benjamin-Fondane (place);75005
Bernard-Halpern (place);75005
Bernardins (rue des);75005
Berthollet (rue);75005
Bièvre (rue de);75005
Blainville (rue);75005
Boeufs (impasse des);75005
Bièvre (rue des);75005
Boulangers (rue des);75005
Boutebrie (rue);75005
Bouvart (impasse);75005
Broca (rue)    ;75005
Bûcherie (rue de la);75005
Buffon (rue);75005
de Candolle (rue);75005
Cardinal-Lemoine (cité du);75005
Cardinal-Lemoine (rue du);75005
Carmes (rue des);75005
Censier (rue);75005
Champollion (rue);75005
Chantiers (rue des);75005
Chartière (impasse);75005
Chat-qui-Pêche (rue du);75005
Cimetière-Saint-Benoist (rue du);75005
Claude-Bernard (rue);75005
Clef (rue de la);75005
