Claude;Abbes
Hugo;Lloris
Patrice;Loko
Marcel;Loncle
Christian;Lopez
Charly;Loubet
Jean;Loubière
Xercès;Louis
Antonin;Lozès
Jean;Luciano
François;Ludo
Peguy;Luyindula
Édouard;Macquart
Mickaël;Madar
Eugène;Maës
Khennane;Mahi
Abderrahman;Mahjoub
Philippe;Mahut
Jacques;Mairesse
Claude;Makélélé
Florent;Malouda
Steve;Mandanda
Eliaquim;Mangala
Hervé;Marc
Jean-Jacques;Marcel
Marcel;Marchal
Roger;Marche
Yves;Mariot
Steve;Marlet
Marvin;Martin
Bruno;Martini
Corentin;Martins
André;Maschinot
Serge;Masnaghetti
Fernand;Massip
Paul;Mathaux
Jules;Mathé
Jérémy;Mathieu
Maurice;Mathieu
Étienne;Mattler
Blaise;Matuidi
Florian;Maurice
Rio Antonio;Mavuba
Francis;Méano
Rachid;Mekloufi
Bernard;Mendy
Jérémy;Ménez
Maurice;Mercery
Alain;Merchadier
Albert;Mercier
D.;Mercier
François;Mercier
Robert;Mercier
Émilien;Méresse
Camel;Meriem
Louis;Mesnier
Maurice;Meunier
Georges;Meuris
Philippe;Mexès
Maurice;Meyer
Francis;Meynieu
Michel;Mézy
Carmelo;Micciche
Henri;Michel
Pierre;Michelin
Johan;Micoud
Ahmed;Mihoubi
Roger;Mindonnet
Louis;Mistral
Roland;Mitoraj
Henri;Moigneu
Alain;Moizan
Marc;Molitor
Jules;Monsallier
Charles;Montagne
Alexis;Mony
Pierre;Mony
Georges;Moreel
Daniel;Moreira
Pol;Morel
Georges;Moulène
Henri;Mouton
Lucien;Muller
Yann;M'Vila
Bruno;N'Gotty
Samir;Nasri
Frédéric;Née
Eugène;Nicolaï
Jean;Nicolas
Paul;Nicolas
Jacques;Novi
Edmond;Novicki
Aimé;Nuic
Charles;N'Zogbia
Louis;Olagnier
Célestin;Oliver
Maurice;Olivier
Charles;Orlanducci
Jean-Claude;Osman
Nicolas;Ouédec
Marcel;Ourdouillié
Georges;Ouvray
Jean;Pacot
Stéphane;Paille
Claude;Papi
Jean-Pierre;Papin
Antoine;Parachini
Bernard;Pardo
Patrick;Parizon
Albert;Parsys
Gérald;Passi
Henri;Pavillard
Michel;Payen
Dimitri;Payet
Antoine;Pazur
Éric;Pécout
Benoît;Pedretti
Reynald;Pedros
Armand;Penverne
Christian;Perez
Robert;Péri
Eugène;Petel
Emmanuel;Petit
Jean;Petit
René;Petit
Georges;Peyroche
Roger;Piantoni
Francis;Piasecki
Jean;Picy
Marcel;Pinel
Robert;Pintenat
Frédéric;Piquionne
Robert;Pirès
Félix;Pironti
Jean-Claude;Piumi
Marc;Planus
Michel;Platini
Pierre;Pleimelding
René;Pleimelding
Paul;Pogba
Paul;Poirier
Albert;Polge
Stéphane;Porato
Cyrille;Pouget
André;Poullain
Fabrice;Poullain
Félix;Pozo
Jean;Prouff
Louis;Provelli
William;Prunier
André;Puget
Roger;Quenolle
Claude;Quittet
Bernard;Rahis
Ángel;Rambert
Ulrich;Ramé
Adil;Rami
Gilles;Rampillon
Pierre;Ranzoni
Daniel;Ravier
François;Remetter
Loïc;Rémy
André;Renaux
Charles;Renaux
Albert;Rénier
Pierre;Repellini
Anthony;Réveillère
Hervé;Revelli
Patrick;Revelli
André;Rey
Franck;Ribéry
Robert;Rico
Jean;Rigal
Patrice;Rio
Roger;Rio
Laurent;Robert
Claude;Robin
Laurent;Robuschi
Alain;Roche
Roche;Rochet
Dominique;Rocheteau
Daniel;Rodighiero
Joseph;Rodriguez
Sauveur;Rodriguez
Bruno;Rodzik
Henri;Roessler
Jean-Philippe;Rohr
Roger;Rolhion
André;Rollet
Félix;Romano
Paul;Romano
Georges;Rose
Jean-Paul;Rostagni
Alfred;Roth
Jérôme;Rothen
Antoine;Rouches
Gilles;Rousset
Laurent;Roussey
Olivier;Rouyer
Serge;Roy
Marius;Royet
Stéphane;Ruffier
César;Ruminski
Albert;Rust
André;Ryssen
Bacary;Sagna
Willy;Sagnol
Louis;Saha
Mamadou;Sakho
Omar;Sahnoun
Marcel;Salva
Henri;Salvano
Jean-Claude;Samuel
Christian;Sarramagna
Émile;Sartorius
Jean-Luc;Sassus
Paul;Sauvage
Franck;Sauzée
Steve;Savidan
Albert;Schaff
Émile;Scharwath
Roland;Schmitt
Louis;Schubart
Ernest;Schultz
Roger;Scotti
Jean;Sécember
Yvon;Segalen
Henri;Sellier
Didier;Sénac
Guy;Sénac
Raymond;Sentubéry
Victor;Sergent
Georges;Sesia
Pierre;Seyler
Robert;Siatka
Franck;Silvestre
Mikaël;Silvestre
Amara;Simba
Jacques;Simon
André;Simonyi
Florent;Sinama-Pongolle
Paul;Sinibaldi
Pierre;Sinibaldi
Moussa;Sissoko
Didier;Six
Pierre;Six
Henri;Skiba
Ladislas;Smid
Gérard;Soler
André;Sollier
Luc;Sonor
Julien;Sottiault
Léonard;Specht
Sébastien;Squillaci
Édouard;Stako
Michel;Stievenard
Julien;Stopyra
Yannick;Stopyra
André;Strappe
Marceau;Stricanne
Georges;Stuttler
Jean-Claude;Suaudeau
Jean;Swiatek
Christian;Synaeghel
Maryan;Synakowski
Robert;Szczepaniak
Théodore;Szkudlapski
Jean;Taillandier
Georges;Taisne
André;Tassin
Joseph;Tellechéa
Jean-Pierre;Tempet
Bolek;Tempowski
Tessie;Tessier
Maurice;Thédié
Alexis;Thépot
Jean-Christophe;Thouvenel
Lilian;Thuram
Philippe;Tibeuf
Jean;Tigana
Maurice;Tillette
Ernest;Tossier
Adolphe;Touffait
Jérémy;Toulalan
José;Touré
Auguste;Tousset
Marius;Trésor
David;Trezeguet
Yves;Triantafilos
Marcel;Triboulet
Benoît;Trémoulinas
Thierry;Tusseau
Richard;Tylinski
Joseph;Ujlaki
Ernest;Vaast
Pascal;Vahirua
Tony;Vairelles
Mathieu;Valbuena
Guy Van;Sam
Marcel;Vanco
Maurice;Vandendriessche
Jules;Vandooren
Roger;Vandooren
Albert;Vanucci
Raphaël;Varane
Henri;Vascout
François;Vasse
Émile;Veinante
Julien;Verbrugghe
Philippe;Vercruysse
Jacques;Vergnes
Joseph;Verlet
Georges;Verriest
Francis;Vial
Justin;Vialaret
Henri;Vialmonteil
Patrick;Vieira
René;Vignal
Marcel;Vignoli
Alexandre;Villaplane
Jean;Vincent
Rémi;Vogel
Paul;Voyeux
Roland;Wagner
Urbain;Wallet
Marius;Walter
Michel;Watteau
Raymond;Wattine
Édouard;Wawrzeniak
Edmond;Weiskopf
Jean;Wendling
Ursule;Wibaut
Jacques;Wild
Charles;Wilkes
Sylvain;Wiltord
Maryan;Wisnieski
Daniel;Xuereb
Mapou;Yanga-Mbiwa
Jean-Louis;Zanon
Mario;Zatelli
Jonathan;Zebina
Charles;Zehren
Paul;Zeiger
Bernard;Zénier
Émile;Zermani
Zinédine;Zidane
Jacques;Zimako
Simon;Zimny
Mustapha;Zitouni
Victor;Zvunka
Charles;Abadie
Alexandre;Abd-El-Nour
Abdullah;Abdullah
Maurice;Abiven
Maude;Abbott
Nicolás;Achúcarro
Nathan;Ackerman
Gérard;Adam
Patch;Adams
Edgar Douglas;Adrian
Patrick;Aeberhard
Yves;Agid
Albert;Aguayo
Théophile;Alajouanine
Joaquín;Albarrán
Martin L.;Albert
Giulio;Alessandrini
Salvador;Allende
Cecil A.;Alport
Frederick;Andermann
Alfredo;Andreini
Gabriel;Anton
Virginia;Apgar
Joseph;Aractingi
Étienne;Argelliès
Saturnin;Arloing
Julius;Arndt
Arsène;d'Arsonval
Richard;Asher
François;Auger
Auguste;Neveu
Richard;Axel
Joseph;Babinski
Karl;Babor
Edward;Bach
Zénon;Bacq
Louis-Eugène;Bagot
Percival;Bailey
Paul;Bailliart
Gaston;Baissette
Albert;Balestre
Claude;Balier
Gilbert;Ballet
Marcel;Baltazard
Bernhard Lauritz Frederik;Bang
Frederick;Banting
Robert;Bárány
André;Barbeau
Christiaan;Barnard
Louis;Barot
Jean Alexandre;Barré
Henri;Baruk
Franco;Basaglia
Henry Charlton;Bastian
Paul Clemens von;Baumgarten
Alain;Beaudet
Peter Emil;Becker
David;Bedell-Sivright
Charles Edward;Beevor
Emil Adolf von;Behring
Vladimir;Bekhterev
Tawhida Ben;Cheikh
Alim-Louis;Benabid
Léon;Bence
Harry;Benjamin
Jalil;Bennani
Raoul;Bensaude
Gianna Beretta;Molla
Hans;Berger
Ernst Evald;Bergroth
Olivier;Bernard
Jean;Bernard
Thérèse;Bertrand-Fontaine
Ernest Henri;Besnier
Alexandre;Besredka
Marcel;Bessis
Albert;Besson
Norman;Bethune
Vincenzo;Bianchini
Amico;Bignami
Claude;Binet
Jacques-Louis;Binet
Léon;Binet
Ludwig;Binswanger
Otto;Binswanger
Wilfred;Bion
Maximilian Oskar;Bircher-Benner
Madeleine;Blanchet
Eduard;Bloch
Agnes;Bluhm
Pierre;Bois
Léon;Bondoux
Jean-Louis;Bonenfant
Jules;Bordet
Amédée;Borrel
Mihai Ioan;Botez
Mahfoud;Boucebci
Roméo;Boucher
Mikhaïl;Boulgakov
Michel;Bounan
André;Bourguignon
Gaston;Bourret
Léon;Bouveret
Joseph;Bouvier
Daniel;Bovet
John Boyd;Orr
Albert;Brachet
Russell;Brain
Karl;Brandt
Rony;Brauman
Vital;Brazil
Karl;Bremer
Madeleine;Brès
Alexander;Breslow
Thierry;Brigaud
Nathan;Brill
David;Bruce
Fritz;Brupbacher
Paul;Bucy
Édouard;Bugnion
Oswald;Bumke
Denis Parsons;Burkitt
Edward Farquhar;Buzzard
Augustin;Cabanès
Ferdinand;Cabanne
Ahmet;Çakar
Helen;Caldicott
Albert;Calmette
Tawfiq;Canaan
Joseph;Capgras
Louis;Capitan
Jean;Carle
Jean;Carpentier
Alexis;Carrel
James;Carroll
Paul;Cartier
Paul;Carton
Joachim;Carvallo
Ferdinando;Cazzamalli
Angelo;Celli
Carlos;Chagas
Christian;Champy
André;Chantemesse
Jean-Baptiste;Charcot
Philippe;Chaslin
Paul;Chauchard
Paul;Chavanon
Luc;Chikhani
Martin;Chobli
Michel;Chrétien
Édouard;Claparède
Henri;Claude
Patrick;Clervoy
Ruggero;Cobelli
Ivan;Colmant
Jean;Comandon
Joseph;Comiti
Ernest;Conseil
Robin;Coombs
John Lachlan;Cope
Zachary;Cope
Lionel;Coudron
Maurice;Coumétou
Guy;Courtois
Jean;Couture
Clarence;Crafoord
Fortuné;Cresson
Max de;Crinis
MacDonald;Critchley
Burrill Bernard;Crohn
Louis;Crouzon
Jean-René;Cruchet
Richard;Cruess
Harvey;Cushing
James;Cyriax
Nicolas;Dahl
Henry Drysdale;Dakin
Walter;Dandy
Jean;Dausset
Paul;David
Jean;Davignon
Jacques de;Champlain
Max;Deauville
Raymond;Debenedetti
Jean-Robert;Debray
Bernard;Debré
Robert;Debré
Pierre;Decker
Jean-Marie;Delage
Édouard;Delanglade
Paul;Delaunay
Jean;Delay
Malanda;Dem
Silvana De;Mari
Pavol;Demeš
Pierre;Deniker
Derek;Denny-Brown
André;Derocque
Bernard;Devauchelle
Albert;Devaux
Félix;Dévé
Eugène;Devic
Elio Augusto Di;Carlo
Louis;Dionne
Alexandre;Dogiel
Richard;Doll
Jean-Michel;Dubernard
Louis;Dubertret
Paul Charles;Dubois
Henri;Dubois-Roquebert
Ernest;Duchesne
Marc;Dufour
Michel Dugast;Rouillé
Renato;Dulbecco
Charles-Louis;Dumas
Henri;Duret
François;Duvalier
Christian de;Duve
Wilhelm;Ebstein
Constantin von;Economo
Gerald;Edelman
Ludwig;Edinger
Christiaan;Eijkman
Willem;Einthoven
Karl Axel;Ekbom
Henri;Ellenberger
Wilhelm;Erb
Jean-Louis;Étienne
Henri;Ey
André-Julien;Fabre
Jules;Falret
Guido;Fanconi
Frantz;Fanon
Harold Benjamin;Fantham
Silvio;Fanti
Louis Hubert;Farabeuf
René;Fauvert
Ferruccio;Fazio
David;Fedson
Gaston;Ferdière
Charles;Féré
Jacques;Ferron
Johannes Andreas Grib;Fibiger
Noël;Fiessinger
Carlos;Finlay
Niels Ryberg;Finsen
Jean;Fiolle
Giuseppe;Fioroni
Edward;Flatau
Alexander;Fleming
Lâadi;Flici
Théodore;Flournoy
Odile;Buisson
Pierre;Foldes
Ivar Asbjørn;Følling
Danielle;Föllmi
Catherine;Fonck
René;Fontaine
Armand;Forel
Auguste;Forel
Oscar;Forel
Claude;Fortier
Frances;Hoggan
Viktor;Frankl
Armand;Frappier
Samuel O.;Freedman
Sigmund;Freud
Jules;Freund
Jean;Frézal
Frieda;Fromm-Reichmann
August Friedrich von;Froriep
Paul;Frosch
Frédérique;Bonnet-Brilhault
Ernst;Fuchs
Patrick de;Funès
Henry;Gabrielle
Daniel Carleton;Gajdusek
Riccardo;Galeazzi-Lisi
Raymond;Garcin
Jean-Pierre;Garen
Charles-Marie;Gariel
Fielding H.;Garrison
Archibald Edward;Garrod
Loránd;Gáspár
Henri;Gastaut
Joseph;Gaston
Abu Bakarr;Gaye
Jacques;Genest
Georges;Burou
Angelin;German
Norman;Geschwind
Jules;Girard
Rosan;Girard
Giuseppe;Albini
Bernard;Glorion
Salomon;Gluck
Victor;Goldbloom
Samuel;Goldflam
Alfred;Goldscheider
Camillo;Golgi
Bernard;Golse
William C.;Gorgas
Françoise;Gorog
William;Gowers
Hans Christian;Gram
Joseph;Grasset
Pierre;Grondin
Claude;Gubler
Arthur;Guedel
Camille;Guérin
Georges;Guillain
Christian;Guilleminault
Allvar;Gullstrand
Robert;Guthrie
Patrice;Halimi
Bernard;Halpern
Jean;Hamburger
André;Hammel
Marcel;Hamon
Jules;Hardy
Gilles;Haroche
Nancy S.;Harris
Ernst;Hartmann
Georges;Hayem
Donald;Hebb
Henry J.;Heimlich
Edmond;Henry
Gustav Richard;Heyer
Archibald Vivian;Hill
Erich;Hintzsche
Harald;Hirschsprung
Alfred;Hoche
Erich;Hoffmann
Gordon Morgan;Holmes
Frederick Gowland;Hopkins
Bayard Taylor;Horton
Didier;Houzel
André;Hovelacque
George;Huntington
Hans;Hunziker
Claude;Huriez
Björn;Ibsen
Édouard;Imbeaux
Tatsuji;Inouye
Lucien;Israël
Lucien;Israël
Björn;Ivemark
François;Jacob
René;Jacquemaire
Gustav;Jäger
Alfons Maria;Jakob
Eugène;Jamot
DeForest;Jarvis
Herbert;Jasper
Karl;Jaspers
Adib Domingos;Jatene
Adolphe;Javal
René;Jeannel
Alix;Joffroy
Frank Chambliss;Johnson
Patrice;Josset
João Cid dos;Santos
Carl Gustav;Jung
Richard;Kandt
Leo;Kanner
George;Karpati
Oscar;Kashala
Ancel;Keys
John;Kirk
Édouard Francis;Kirmisson
Shibasaburo;Kitasato
Jakob;Klaesi
Edwin;Klebs
Marguerite;Klein
Maurice;Klippel
Robert;Koch
Willem Johan;Kolff
Fritz;König
Hilary;Koprowski
Korbinian;Brodmann
Bernard;Kouchner
Cyrille;Koupernik
Olivier;Kourilsky
Catherine;Kousmine
Amalia;Koutsouri-Voureka
Hans Adolf;Krebs
Ernst;Kretschmer
Friedrich Ernst;Krukenberg
Lawrence;Kubie
Otto;Kuchel
Roland;Kuhn
Fernand;Labrie
Antoine;Lacassagne
Jean;Lacassagne
Edmond;Lacoste
Paul-Louis;Ladame
Yves;Lamarre
Edward Howard;Lambert
Yvon;Lamour
Maurice;Lamy
Karl;Landsteiner
Jean-Marie de;Lanessan
Léon;Langeron
Georges;Lanteri-Laura
Louis;Lapicque
Louis;Lareng
Pierre;Lasjaunias
Jean;Lassner
André;Latarjet
Alphonse;Laveran
Guy;Lazorthes
Denis;Lazure
Roger Le;Breton
Henri;Leclerc
André Roch;Lecours
Jean-Jacques;Lefrère
Aimé-François;Legendre
Robert Thomson;Leiper
William Boog;Leishman
Jérôme;Lejeune
Henri;Lentulo
Jean;Lépine
Adolphe;Leray
René;Leriche
Émile;Letournel
Irma;Levasseur
Carlo;Levi
Rita;Levi-Montalcini
Gabrielle;Lévy
Gaston;Lévy
Friedrich Heinrich;Lewy
Jean;Lhermitte
Arvid;Lindau
Pim van;Lommel
Arthur;Looss
Louis Charles Émile;Lortet
Auguste-Louis;Loubatières
Alexandre;Louria
Lucien;Lison
André;Lussier
Adolpho;Lutz
Olivier;Lyon-Caen
William;MacEwen
Paul D.;MacLean
Fernando;Magalhães
Pierre;Mailloux
Hisham;Maizar
Claude;Malhuret
Louis;Mansuy
Paolo;Mantegazza
Leon;Manteuffel-Szoege
Charles;Mantoux
Gregorio;Marañón
Ettore;Marchiafava
Jacques;Marescaux
Pierre;Marie
Gheorghe;Marinescu
Maurice;Marois
Barry J.;Marshall
Thierry de;Martel
Félix Martí;Ibáñez
René;Martial
Louis;Martin
Cristóbal;Martínez-Bordiú
Gaetano;Martino
Gianvito;Martino
Pierre;Marty
Arnaud;Marty-Lavauzelle
Jean-François;Mattei
Philippe;Maupas
Michel;Maure
Simone;Mayer
Charles Horace;Mayo
William James;Mayo
David;McJonathan-Swarm
Henry;Meige
Ronald;Melzack
Emanuel;Mendel
Gideon;Mer
Charles;Mérieux
Otto Fritz;Meyerhof
Paul;Milliez
Dragoslav;Milovanovitch
Giovanni;Mingazzini
Alexandre;Minkowski
Eugène;Minkowski
Vladimir;Mitz
Paul Julius;Möbius
Pierre;Mollaret
Constantin von;Monakov
Jean-Pierre de;Mondenard
Henri;Mondor
Dipu;Moni
Egas;Moniz
Luc;Montagnier
George;Montandon
Maria;Montessori
Sophie;Morgenstern
Henry;Morgentaler
Zina;Morhange
Joseph;Morlaas
Georges de;Morsier
Émile-Jules;Moure
Marco;Mumenthaler
Axel;Munthe
Paul;Näcke
Jean;Nageotte
Bernard;Nathanson
Philippe;Nauche
Léopold;Nègre
Arnold;Netter
Albert;Netter
Auguste;Neveu
Nguyen Van;Nghi
Charles;Nicolle
Maurice;Nicolle
Israël;Nisand
Hideyo;Noguchi
Max;Nonne
Anne;Noury
Henri;Nouvion
George Henry Falkiner;Nuttall
Frank;Ochberg
Charles;Odier
Claude;Olievenstein
Lucien;Olivier
Jean-Michel;Oughourlian
George Emil;Palade
Richard;Pampuri
James;Papez
Constantin Ion;Parhon
Henri;Parinaud
Léo;Pariseau
Louis Pasteur;Vallery-Radot
Patrizia;Paterlini-Bréchot
Patrick;Lévy
Victor;Pauchet
Nicolae;Paulescu
Pieter Klazes;Pel
Yves;Pélicier
Madeleine;Pelletier
Patrick;Pelloux
Wilder;Penfield
Roger;Perelman
Ion N.;Petrovici
Aladár;Petz
Bertrand;Piccard
Arnold;Pick
Robert;Picqué
Emmi;Pikler
Gregory;Pincus
Albert;Pitres
Henry Stanley;Plummer
Pierre;Pollak
Ignacio;Ponseti
Erwin;Popper
Antoine;Porot
Georges;Portmann
Michel;Portmann
Léandre;Pourcelot
Yvonne;Pouzin
Ashoka;Prasad
Morton;Prince
Isaac Puente;Amestoy
Jean;Puyaubert
Patrice;Queneau
Heinrich;Quincke
Rémi;Quirion
Jean-Daniel;Rainhorn
Albert Rakoto;Ratsimamanga
Santiago Ramón y;Cajal
Louis-Antoine;Ranvier
Xavier;Raspail
Matthias;Rath
Fulgence;Raymond
Paul Raymond (médecin et;préhistorien)
Walter;Reed
Hans Conrad Julius;Reiter
Lazar;Remen
André;Repond
Andreas;Rett
Joseph;Réty
Jacques-Louis;Reverdin
Jean;Reverzy
R. Douglas;Reye
Emílio;Ribas
Paul;Richer
Charles;Richet
Beat;Richner
Jean-Charles;Rielle
Pío del Río;Hortega
Édouard;Rist
Giacomo;Rizzolatti
Jean;Robic
Gérard;Roche
George;Rodocanachi
Roger;Ermiane
Paul;Rohmer
Hermann;Rorschach
Anton Julius Friedrich;Rosenbach
Henri de;Rothschild
Gustave;Roussy
Henri;Rouvière
Émile;Roux
Franck-Emmanuel;Roux
Pierre-Michel;Roux
Joseph Roy;(homéopathe)
Marc Armand;Ruffer
Jacques;Ruffié
Marcel;Rufo
Bedri;Ruhselman
Albert;Sabin
Olivier;Sabouraud
Bernard;Sachs
Oliver;Sacks
Peter;Safar
Georges;Saint-Paul
Manfred;Sakel
Jonas;Salk
Giuseppe;Sanarelli
Robert;Sapolsky
William;Sargant
Pierre;Satgé
Ferdinand;Sauerbruch
Christian Tal;Schaller
Hans Joachim;Scherer
Holger Werfel;Scheuermann
Kurt;Schneider
Jean;Schoenen
Léon;Schwartzenberg
Albert;Schweitzer
William;Scoville
Charles;Scriver
Agustin Sixto;Seco
Simone;Sedan
Hanna;Segal
Victor;Segalen
Hans;Selye
Marcel;Sendrail
Franck;Senninger
Paul;Sérieux
Alain;Serrie
Stanislas de;Sèze
Charles Scott;Sherrington
Paul;Sivadon
Emil;Skamene
Victor;Skumin
Theobald;Smith
Luis;Solari
Bernat;Soria
André;Soubiran
Ronald Vernon;Southcott
Walther;Spielmeyer
Christian;Spitz
Benjamin;Spock
Anne;Spoerry
Martin;Staemmler
August;Stärcke
Jean;Starobinski
Wilhelm;Stekel
George Miller;Sternberg
Albert Mason;Stevens
André;Strohl
Nadine;Suarès
Paul Herman Martin;Sudeck
Margie;Sudre
Colin;Sullivan
Harry Stack;Sullivan
Hans Martin;Sutermeister
Albert;Szent-Györgyi
Léopold;Szondi
Tomio;Tada
Jean;Talairach
Franz;Tangl
Antonio García;Tapia
Sunao;Tawara
Hubertus;Tellenbach
Paul;Tessier
Léo;Testut
Léon;Tétreault
Stéphane;Thieffry
Lise;Thiry
Clovis;Thorel
Hermann Arthur;Thost
Paul;Tillaux
Serge;Tolstoï
Alfred;Tomatis
Stanislaw;Tomkiewicz
Édouard;Toulouse
Jules;Traeger
Corrado;Tumiati
Henri;Turner
Raymond;Turpin
David;Tyrrell
Lorne;Tyrrell
Irène Ayako;Uchida
Carlo;Urbani
Bertrand;Vac
Valentin;Grichtchenko
Jean;Valnet
Arthur Van;Gehuchten
Julien;Vanverts
Harold Elliot;Varmus
Daniel;Vasella
Claude;Verdan
Jacqueline;Verdeau-Paillès
Arthur;Vernes
Charles;Vialatte
Waldo;Vieira
Henry;Viets
Jacques;Vigne
Maurice;Villaret
Clovis;Vincent
Hyacinthe;Vincent
Jean-Louis;Vincent
Joseph;Vitalien
Alfred;Vogt
Oskar;Vogt
Cécile;Vogt-Mugnier
Jacques;Voyer
Mark;Wainberg
Selman;Waksman
Mary;Walker
Frank;Wall
Adolf;Wallenberg
Henri;Warembourg
Robert;Wartenberg
August von;Wassermann
Friedrich;Wegener
Franz;Weidenreich
Rudolf;Weigl
Joseph;Weill
John;Weir
August;Weismann
Viktor von;Weizsäcker
Pierre;Wertheimer
François;Wetterwald
Fernand;Widal
Samuel;Wilks
Jean-Pierre;Willem
Samuel Alexander Kinnier;Wilson
Martin;Winckler
Alain;Wisner
Horatio Curtis;Wood
Michael;Woodruff
Gazi;Yasargil
Alexandre;Yersin
Sadamu;Yokogawa
Guido A.;Zäch
Themistocles;Zammit
Édouard;Zarifian
Rolf M.;Zinkernagel
Hans;Zinsser
